                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.50966,                 1.6152,                 1.1644,                0.54311,                0.72933,                0.64506,                0.43393,                0.80795,                 1.5996,                0.92585,             0.00055471,             0.00055471,             0.00055471
                      1,                 0.4289,                 1.1337,                  1.091,                0.47381,                0.62591,                0.48777,                0.38579,                0.66786,                 1.3908,                 0.9474,              0.0010994,              0.0010994,              0.0010994
                      2,                0.43162,                  1.075,                 1.0878,                0.50095,                0.85571,                0.68484,                0.58767,                 0.5398,                 1.1584,                0.77243,              0.0016331,              0.0016331,              0.0016331
                      3,                  0.406,                 1.0198,                 1.0716,                0.71948,                0.85447,                0.84414,                0.75275,                0.56233,                0.96674,                0.79087,              0.0016175,              0.0016175,              0.0016175
                      4,                0.38676,                0.98857,                 1.0622,                0.51529,                0.86783,                0.87505,                0.82467,                0.41294,                 1.2872,                0.66171,              0.0016175,              0.0016175,              0.0016175
                      5,                0.34509,                0.94015,                 1.0398,                0.72319,                0.91507,                0.90858,                0.80925,                0.52048,                0.80484,                 0.6928,               0.001601,               0.001601,               0.001601
                      6,                0.31614,                0.90213,                 1.0272,                0.77291,                0.86151,                0.87087,                 0.7543,                0.46184,                0.95054,                0.62768,              0.0015845,              0.0015845,              0.0015845
                      7,                0.32024,                0.90513,                 1.0309,                0.78609,                0.89555,                0.85763,                 0.7429,                0.51948,                0.78897,                0.66079,               0.001568,               0.001568,               0.001568
                      8,                0.29854,                0.89055,                 1.0203,                0.77277,                  0.835,                 0.8698,                0.69921,                0.58141,                0.89609,                0.79838,              0.0015515,              0.0015515,              0.0015515
                      9,                0.30014,                 0.8873,                 1.0239,                0.88903,                0.91302,                0.95939,                0.90157,                 0.4043,                0.63014,                0.57238,               0.001535,               0.001535,               0.001535
                     10,                0.27808,                0.84954,                  1.007,                0.72967,                0.82441,                0.81741,                0.70247,                0.46134,                0.94259,                0.59795,              0.0015185,              0.0015185,              0.0015185
                     11,                0.28441,                0.86976,                 1.0184,                0.78702,                0.85819,                0.89743,                0.82634,                0.41401,                0.66539,                0.59981,               0.001502,               0.001502,               0.001502
