                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.69767,                  2.082,                 1.2237,                0.66906,                0.84621,                0.80792,                0.80389,                 0.3698,                 1.2649,                0.48524,              0.0033311,              0.0033311,              0.0033311
                      1,                0.61717,                  1.559,                 1.1429,                 0.7164,                0.88328,                0.84358,                0.82946,                0.31541,                 1.0305,                0.44102,              0.0066314,              0.0066314,              0.0066314
                      2,                0.65526,                 1.4749,                  1.154,                0.73396,                0.80999,                0.83188,                0.80229,                0.35253,                0.93541,                0.49356,              0.0098987,              0.0098987,              0.0098987
                      3,                0.66688,                 1.4124,                 1.1593,                0.65838,                0.84216,                0.88417,                0.85336,                 0.3208,                0.97484,                0.41098,              0.0098515,              0.0098515,              0.0098515
                      4,                0.63287,                 1.3312,                 1.1487,                0.84458,                0.86542,                0.92727,                0.89884,                0.34088,                0.59988,                0.44871,              0.0098515,              0.0098515,              0.0098515
                      5,                0.61515,                 1.2901,                 1.1471,                0.73881,                0.86713,                0.92048,                0.88351,                0.34539,                0.96103,                0.43254,               0.009802,               0.009802,               0.009802
                      6,                0.59488,                 1.2599,                 1.1381,                0.87756,                0.91622,                  0.965,                0.91238,                 0.3668,                0.51431,                0.46096,              0.0097525,              0.0097525,              0.0097525
                      7,                0.57199,                 1.2175,                 1.1312,                0.90387,                0.90383,                 0.9638,                0.94531,                0.30205,                0.53652,                0.39061,               0.009703,               0.009703,               0.009703
                      8,                0.55057,                 1.1903,                 1.1152,                0.88456,                0.94728,                0.97686,                0.94336,                0.30694,                 0.4848,                0.39477,              0.0096535,              0.0096535,              0.0096535
                      9,                0.54049,                 1.1709,                 1.1152,                0.90628,                0.92523,                0.97116,                0.93077,                0.36049,                  0.513,                0.47297,               0.009604,               0.009604,               0.009604
                     10,                0.53511,                 1.1622,                 1.1082,                0.92288,                0.91526,                0.97571,                0.95722,                0.29512,                 0.5103,                0.37932,              0.0095545,              0.0095545,              0.0095545
                     11,                0.51913,                 1.1196,                 1.0985,                0.77105,                0.88178,                0.89064,                0.84694,                0.34168,                0.57438,                0.41684,               0.009505,               0.009505,               0.009505
                     12,                0.52069,                 1.1283,                 1.1024,                0.93672,                0.94999,                0.97984,                0.96823,                0.26265,                0.45833,                0.39356,              0.0094555,              0.0094555,              0.0094555
