                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6798,                 2.6546,                 1.5536,                0.48979,                0.54457,                0.46415,                0.21673,                 1.6817,                  1.862,                 1.4251,              0.0033294,              0.0033294,              0.0033294
                      1,                 1.5159,                 1.7653,                 1.3719,                0.52192,                0.59457,                0.54806,                0.28042,                 1.5708,                 1.6172,                 1.3147,              0.0066298,              0.0066298,              0.0066298
                      2,                 1.5174,                 1.6538,                  1.379,                0.52538,                0.64329,                0.55015,                0.26626,                 1.6768,                 1.6129,                 1.4199,              0.0098971,              0.0098971,              0.0098971
                      3,                 1.5755,                 1.6332,                 1.4188,                0.51931,                0.61837,                0.50933,                0.25091,                 1.5713,                 1.4866,                 1.3316,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.5382,                 1.4785,                 1.3891,                0.61645,                0.65398,                0.59207,                0.30284,                 1.5986,                 1.3876,                 1.3444,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5135,                 1.3888,                 1.3645,                0.59214,                0.61929,                0.58954,                0.30799,                 1.6163,                 1.3215,                 1.3811,               0.009802,               0.009802,               0.009802
                      6,                 1.4584,                 1.2883,                 1.3474,                0.43133,                 0.6203,                0.53401,                0.25299,                 1.6469,                 1.2723,                 1.3538,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4426,                 1.2057,                 1.3203,                0.58193,                0.57873,                0.56382,                0.28932,                 1.6056,                 1.1896,                 1.3213,               0.009703,               0.009703,               0.009703
                      8,                 1.4411,                 1.1801,                 1.3241,                0.57621,                0.70019,                0.59135,                0.31632,                 1.5937,                 1.1685,                 1.3236,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4236,                 1.1526,                 1.3219,                0.51033,                0.48132,                0.48835,                0.24909,                 1.5841,                  1.212,                 1.3278,               0.009604,               0.009604,               0.009604
                     10,                 1.3964,                 1.1034,                 1.3108,                0.57217,                0.56597,                0.52844,                0.28124,                 1.5442,                 1.1991,                 1.3199,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3982,                 1.0858,                 1.2979,                0.49912,                0.53583,                0.53309,                0.25595,                 1.6233,                 1.2909,                 1.3461,               0.009505,               0.009505,               0.009505
                     12,                 1.3824,                 1.0685,                 1.2777,                0.51772,                0.67473,                0.58218,                0.31701,                 1.5185,                 1.0794,                 1.2813,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.354,                 1.0315,                 1.2814,                0.53158,                0.72288,                0.60155,                0.33235,                 1.4974,                 1.0535,                 1.2805,               0.009406,               0.009406,               0.009406
